strategy_name,player_initial_score,dealer_upcard_value,player_final_score,player_bust,player_blackjack,result
Basic,16,6,21,False,False,win
Basic,8,2,23,True,False,loss
Basic,20,10,20,False,False,win
Basic,14,3,17,False,False,loss
Basic,14,11,14,False,False,loss
Basic,17,3,17,False,False,win
Basic,13,10,21,False,False,win
Basic,11,9,21,False,False,win
Basic,8,7,17,False,False,loss
Basic,13,5,25,True,False,loss
Basic,13,10,23,True,False,loss
Basic,15,5,20,False,False,draw
Basic,19,9,19,False,False,win
Basic,20,3,20,False,False,draw
Basic,16,10,16,False,False,loss
Basic,21,4,21,False,True,win
Basic,11,5,21,False,False,draw
Basic,12,10,25,True,False,loss
Basic,20,10,20,False,False,win
Basic,5,6,25,True,False,loss
Basic,19,10,19,False,False,loss
Basic,18,10,18,False,False,win
Basic,18,4,18,False,False,draw
Basic,16,9,19,False,False,draw
Basic,19,7,19,False,False,win
Basic,5,10,21,False,False,win
Basic,18,8,18,False,False,win
Basic,16,11,26,True,False,loss
Basic,20,4,20,False,False,draw
Basic,14,10,19,False,False,draw
Basic,19,3,19,False,False,win
Basic,6,2,19,False,False,win
Basic,16,10,21,False,False,win
Basic,12,6,22,True,False,loss
Basic,16,11,16,False,False,loss
Basic,15,3,25,True,False,loss
Basic,5,10,18,False,False,win
Basic,12,10,22,True,False,loss
Basic,13,6,23,True,False,loss
Basic,18,10,18,False,False,loss
Basic,10,10,19,False,False,draw
Basic,19,10,19,False,False,win
Basic,20,8,20,False,False,win
Basic,14,6,22,True,False,loss
Basic,9,10,19,False,False,loss
Basic,13,10,23,True,False,loss
Basic,13,6,23,True,False,loss
Basic,20,7,20,False,False,loss
Basic,17,5,17,False,False,draw
Basic,18,5,18,False,False,win
Basic,15,6,25,True,False,loss
Basic,10,10,20,False,False,win
Basic,20,6,20,False,False,win
Basic,20,11,20,False,False,win
Basic,19,8,19,False,False,win
Basic,20,10,20,False,False,win
Basic,13,7,23,True,False,loss
Basic,9,7,17,False,False,draw
Basic,20,11,20,False,False,loss
Basic,17,10,17,False,False,loss
Basic,19,11,19,False,False,draw
Basic,10,6,20,False,False,win
Basic,14,10,18,False,False,draw
Basic,11,9,21,False,False,win
Basic,15,5,21,False,False,win
Basic,16,5,22,True,False,loss
Basic,18,10,18,False,False,loss
Basic,21,7,21,False,True,win
Basic,18,7,18,False,False,draw
Basic,14,9,24,True,False,loss
Basic,6,2,19,False,False,win
Basic,19,10,19,False,False,win
Basic,19,6,19,False,False,win
Basic,18,2,18,False,False,loss
Basic,13,7,23,True,False,loss
Basic,15,10,23,True,False,loss
Basic,18,4,18,False,False,loss
Basic,10,6,22,True,False,loss
Basic,11,9,21,False,False,win
Basic,13,2,20,False,False,win
Basic,18,10,18,False,False,loss
Basic,18,10,18,False,False,loss
Basic,12,6,22,True,False,loss
Basic,15,10,23,True,False,loss
Basic,15,10,15,False,False,loss
Basic,9,10,9,False,False,loss
Basic,9,7,21,False,False,win
Basic,9,10,19,False,False,loss
Basic,17,7,17,False,False,loss
Basic,10,9,20,False,False,win
Basic,18,9,18,False,False,loss
Basic,16,10,21,False,False,win
Basic,13,8,19,False,False,win
Basic,17,3,17,False,False,loss
Basic,14,11,14,False,False,loss
Basic,18,10,18,False,False,draw
Basic,13,6,18,False,False,loss
Basic,12,5,22,True,False,loss
Basic,20,10,20,False,False,loss
Basic,19,9,19,False,False,win
Basic,13,6,17,False,False,loss
Basic,17,8,17,False,False,win
Basic,20,9,20,False,False,draw
Basic,19,10,19,False,False,loss
Basic,9,2,25,True,False,loss
Basic,19,10,19,False,False,loss
Basic,13,10,13,False,False,loss
Basic,18,2,18,False,False,loss
